,Epoch,Client_id,Class_id,Label_num,Test_acc,Test_loss
0,0,0,7,48,0.0,0.10148543119430542
1,0,0,4,101,0.039603960396039604,0.04853532463312149
2,0,0,1,77,0.0,0.04512067139148712
3,0,0,8,67,0.0,0.03487180173397064
4,0,0,2,30,0.0,0.22373352944850922
5,0,0,6,13,0.0,0.384987473487854
6,0,0,5,21,0.0,0.2888731360435486
7,0,0,3,15,0.0,0.2513114809989929
8,0,1,4,13,0.38461538461538464,0.09302385151386261
9,0,1,0,127,0.7874015748031497,0.006635149009525776
10,0,1,5,124,0.9193548387096774,0.0036185900680720806
11,0,1,2,68,0.8088235294117647,0.014977850019931793
12,0,1,3,40,0.775,0.020340295508503914
13,0,1,1,3,1.0,0.08409643173217773
14,0,2,3,53,0.7735849056603774,0.016284391283988953
15,0,2,0,12,0.8333333333333334,0.04546760022640228
16,0,2,8,114,0.631578947368421,0.011803505942225456
17,0,2,2,134,0.8432835820895522,0.007000722922384739
18,0,2,7,21,0.7619047619047619,0.046085208654403687
19,0,2,5,31,0.967741935483871,0.009448080323636532
20,0,2,1,21,0.9047619047619048,0.02272053062915802
21,0,2,4,8,0.375,0.18266330659389496
22,0,2,6,4,0.25,0.408858984708786
23,0,3,1,95,0.8947368421052632,0.00478147529065609
24,0,3,2,3,0.6666666666666666,0.4070269763469696
25,0,3,8,47,0.7021276595744681,0.025198377668857574
26,0,3,7,8,0.875,0.10882637649774551
27,0,3,0,3,0.6666666666666666,0.3860257565975189
28,0,3,4,9,0.3333333333333333,0.15063872933387756
29,0,3,3,2,0.0,0.6338675022125244
30,0,3,5,2,1.0,0.20925408601760864
31,0,3,9,5,0.2,0.38936132192611694
32,0,3,6,1,0.0,1.721075177192688
33,0,4,5,75,0.9333333333333333,0.005327941849827766
34,0,4,4,57,0.3157894736842105,0.02451392263174057
35,0,4,8,22,0.5,0.06963960081338882
36,0,4,9,40,0.375,0.0440191887319088
37,0,4,0,34,0.8823529411764706,0.025181306526064873
38,0,4,7,16,0.625,0.06892044842243195
39,0,4,6,63,0.06349206349206349,0.028955606743693352
40,0,4,1,5,0.8,0.10509848594665527
41,0,4,3,13,0.6153846153846154,0.07704481482505798
42,0,4,2,3,1.0,0.20359216630458832
43,0,5,6,19,0.0,0.09525872021913528
44,0,5,1,59,0.8983050847457628,0.008646818809211254
45,0,5,9,70,0.34285714285714286,0.024995725601911545
46,0,5,5,60,0.8333333333333334,0.010222328826785088
47,0,5,4,38,0.47368421052631576,0.03635768964886665
48,0,5,7,23,0.6086956521739131,0.039548955857753754
49,0,5,2,17,0.8823529411764706,0.06547318398952484
50,0,5,0,26,0.7692307692307693,0.03654163330793381
51,0,5,3,10,0.6,0.08717922866344452
52,0,5,8,5,0.6,0.25041988492012024
53,0,6,5,88,0.8977272727272727,0.004942023660987616
54,0,6,3,36,0.6944444444444444,0.024019990116357803
55,0,6,7,103,0.5631067961165048,0.010813145898282528
56,0,6,1,65,0.7846153846153846,0.012773663736879826
57,0,6,2,22,0.7272727272727273,0.05117824301123619
58,0,6,0,36,0.8055555555555556,0.022362463176250458
59,0,6,4,10,0.4,0.12027622759342194
60,0,7,6,36,0.027777777777777776,0.055427081882953644
61,0,7,1,113,0.8053097345132744,0.006040093954652548
62,0,7,8,150,0.5866666666666667,0.008722248487174511
63,0,7,0,41,0.6341463414634146,0.03212405741214752
64,0,7,4,4,0.5,0.2981766164302826
65,0,7,7,21,0.47619047619047616,0.062458645552396774
66,0,7,5,4,0.75,0.08695007115602493
67,0,7,3,10,0.8,0.08323119580745697
68,0,7,2,4,1.0,0.2506829798221588
69,0,8,7,65,0.47692307692307695,0.017456164583563805
70,0,8,4,112,0.35714285714285715,0.012567718513309956
71,0,8,2,41,0.7073170731707317,0.027765661478042603
72,0,8,5,21,0.9523809523809523,0.021212812513113022
73,0,8,0,75,0.7733333333333333,0.01098407432436943
74,0,8,1,12,0.8333333333333334,0.07428498566150665
75,0,8,8,8,0.375,0.18901556730270386
76,0,8,3,13,0.6923076923076923,0.06932467222213745
77,0,8,6,2,0.0,0.9701318144798279
78,0,9,2,23,0.782608695652174,0.04385743290185928
79,0,9,7,99,0.5656565656565656,0.011366242542862892
80,0,9,6,30,0.1,0.06535781174898148
81,0,9,0,27,0.8148148148148148,0.03228234872221947
82,0,9,5,75,0.8133333333333334,0.009507878683507442
83,0,9,4,16,0.5,0.07742778956890106
84,0,9,1,32,0.71875,0.02674894779920578
85,0,9,9,8,0.25,0.2438584566116333
86,0,9,3,2,1.0,0.34980571269989014
87,0,9,8,3,0.6666666666666666,0.29439878463745117
88,0,10,4,38,0.2894736842105263,0.035915110260248184
89,0,10,5,23,1.0,0.017488064244389534
90,0,10,7,131,0.5725190839694656,0.00819262396544218
91,0,10,6,57,0.0,0.034613341093063354
92,0,10,3,32,0.6875,0.03341406211256981
93,0,10,0,9,0.5555555555555556,0.10957424342632294
94,0,10,1,73,0.7945205479452054,0.010257750749588013
95,0,10,2,8,0.875,0.13581575453281403
96,0,11,3,60,0.6666666666666666,0.016324440017342567
97,0,11,8,34,0.7352941176470589,0.032220400869846344
98,0,11,7,30,0.6666666666666666,0.03150190785527229
99,0,11,6,4,0.0,0.42228367924690247
100,0,11,5,77,0.8311688311688312,0.007016237825155258
101,0,11,9,48,0.4166666666666667,0.034836601465940475
102,0,11,2,3,0.3333333333333333,0.45525071024894714
103,0,11,0,16,0.875,0.048294052481651306
104,0,11,4,4,1.0,0.2487582117319107
105,0,12,9,58,0.3620689655172414,0.02933383733034134
106,0,12,8,27,0.4444444444444444,0.05789339542388916
107,0,12,1,70,0.8857142857142857,0.007182581815868616
108,0,12,2,52,0.8076923076923077,0.019758710637688637
109,0,12,5,40,0.85,0.013623868115246296
110,0,12,3,24,0.8333333333333334,0.029336601495742798
111,0,12,6,53,0.0,0.03629755228757858
112,0,12,0,3,1.0,0.27529340982437134
