Epoch,Client,Accuracy,Number
0,0,0.642453591606134,1239
0,1,0.5268644747393745,1247
0,2,0.7631975867269984,1326
0,3,0.7530017152658662,583
0,4,0.6858974358974359,1092
0,5,0.7520661157024794,1089
0,6,0.5187656380316931,1199
0,7,0.6758241758241759,1274
0,8,0.5150472914875323,1163
0,9,0.5653002859866539,1049
0,10,0.49514563106796117,1236
0,11,0.6198257080610022,918
0,12,0.7263901147396293,1133
0,13,0.8383838383838383,891
0,14,0.38738738738738737,1221
0,15,0.775169535732916,1917
0,16,0.48597521200260924,1533
0,17,0.7037366548042705,1124
0,18,0.5585509688289806,1187
0,19,0.5639344262295082,915
0,20,0.7176997759522031,1339
0,21,0.6561631139944393,1079
0,22,0.582832618025751,1165
0,23,0.7680157946692991,1013
0,24,0.7813990461049285,1258
0,25,0.7459252157238735,1043
0,26,0.3618477331052181,1169
0,27,0.7671410090556274,773
0,28,0.44529914529914527,1170
0,29,0.5963949843260188,1276
0,30,0.7566225165562914,604
0,31,0.8196125907990315,1652
0,32,0.7661042944785276,1304
0,33,0.4908062234794908,1414
0,34,0.6297071129707112,956
0,35,0.48817802503477054,1438
0,36,0.6425602660016625,1203
0,37,0.513262599469496,1508
0,38,0.5145038167938931,655
0,39,0.6535947712418301,918
0,40,0.7916102841677943,739
0,41,0.7752613240418118,574
0,42,0.6272229822161423,1462
0,43,0.6663124335812965,941
0,44,0.7345505617977528,1424
0,45,0.6647350993377483,1208
0,46,0.6126760563380281,994
0,47,0.47782426778242676,1195
0,48,0.5810344827586207,1160
0,49,0.561439239646979,1473
1,0,0.7142857142857143,1239
1,1,0.5100240577385726,1247
1,2,0.7315233785822021,1326
1,3,0.5283018867924528,583
1,4,0.6657509157509157,1092
1,5,0.6767676767676768,1089
1,6,0.42952460383653046,1199
1,7,0.5722135007849294,1274
1,8,0.4643164230438521,1163
1,9,0.4804575786463298,1049
1,10,0.3794498381877023,1236
1,11,0.599128540305011,918
1,12,0.6345984112974404,1133
1,13,0.8249158249158249,891
1,14,0.3570843570843571,1221
1,15,0.748565466875326,1917
1,16,0.4005218525766471,1533
1,17,0.6619217081850534,1124
1,18,0.514743049705139,1187
1,19,0.48633879781420764,915
1,20,0.6631814787154593,1339
1,21,0.5653382761816497,1079
1,22,0.5390557939914163,1165
1,23,0.7265547877591313,1013
1,24,0.7003179650238474,1258
1,25,0.7430488974113135,1043
1,26,0.2754491017964072,1169
1,27,0.7179818887451488,773
1,28,0.42905982905982903,1170
1,29,0.5344827586206896,1276
1,30,0.7235099337748344,604
1,31,0.7923728813559322,1652
1,32,0.6809815950920245,1304
1,33,0.42574257425742573,1414
1,34,0.47384937238493724,956
1,35,0.4471488178025035,1438
1,36,0.6059850374064838,1203
1,37,0.4270557029177719,1508
1,38,0.46259541984732827,655
1,39,0.5838779956427015,918
1,40,0.7293640054127198,739
1,41,0.7317073170731707,574
1,42,0.5677154582763337,1462
1,43,0.6046758767268863,941
1,44,0.6860955056179775,1424
1,45,0.5355960264900662,1208
1,46,0.5784708249496981,994
1,47,0.42426778242677826,1195
1,48,0.5603448275862069,1160
1,49,0.5234215885947047,1473
