Epoch,Client_id,Class_id,Label_num,Test_acc,Test_loss,Comsume_time
0,0,4,101,0.7821782178217822,0.009029040113091469,0.30100107192993164
0,0,7,48,0.5833333333333334,0.03300982713699341,0.30100107192993164
0,0,2,30,0.2,0.03742517903447151,0.30100107192993164
0,0,1,77,0.8571428571428571,0.00992291048169136,0.30100107192993164
0,0,8,67,1.0,0.001541183446533978,0.30100107192993164
0,0,5,21,0.19047619047619047,0.10741542279720306,0.30100107192993164
0,0,6,13,0.0,0.2989570200443268,0.30100107192993164
0,0,3,15,0.0,0.19219686090946198,0.30100107192993164
0,1,5,124,0.008064516129032258,0.026222553104162216,0.30100107192993164
0,1,3,40,0.0,0.16462112963199615,0.30100107192993164
0,1,2,68,0.0,0.03965405374765396,0.30100107192993164
0,1,0,127,0.0,0.04307377338409424,0.30100107192993164
0,1,4,13,0.0,0.1998903453350067,0.30100107192993164
0,1,1,3,0.0,0.6916954517364502,0.30100107192993164
0,2,5,31,0.0,0.0888105258345604,0.30100107192993164
0,2,1,21,0.09523809523809523,0.1021805927157402,0.30100107192993164
0,2,2,134,0.0,0.0205677542835474,0.30100107192993164
0,2,8,114,0.7982456140350878,0.007668304722756147,0.30100107192993164
0,2,3,53,0.0,0.12871532142162323,0.30100107192993164
0,2,7,21,0.0,0.19891439378261566,0.30100107192993164
0,2,4,8,0.5,0.1887785643339157,0.30100107192993164
0,2,0,12,0.0,0.47546878457069397,0.30100107192993164
0,2,6,4,0.0,0.6955270767211914,0.30100107192993164
0,3,1,95,0.042105263157894736,0.022798269987106323,0.30100107192993164
0,3,4,9,0.2222222222222222,0.2619725465774536,0.30100107192993164
0,3,8,47,0.9148936170212766,0.01321566104888916,0.30100107192993164
0,3,9,5,0.0,0.5940396785736084,0.30100107192993164
0,3,7,8,0.0,0.5116177797317505,0.30100107192993164
0,3,2,3,0.0,0.7932159900665283,0.30100107192993164
0,3,3,2,0.0,3.344320774078369,0.30100107192993164
0,3,0,3,0.0,1.8261641263961792,0.30100107192993164
0,3,5,2,0.0,1.6709089279174805,0.30100107192993164
0,3,6,1,0.0,2.4331023693084717,0.30100107192993164
0,4,4,57,0.12280701754385964,0.03900962695479393,0.30100107192993164
0,4,9,40,0.0,0.07816489785909653,0.30100107192993164
